logFC	logCPM	LR	PValue	FDR	gene_name	gene_type	ExpressionType
ENSG00000130600	-1.06515410451327	6.47593255110143	50.0571991050358	1.49328920696048e-12	3.98264093451205e-11	H19	lncRNA	down_regulated
ENSG00000153363	-0.216033410820734	6.36919405620463	2.55985600438028	0.109608566470329	0.27457611539885	LINC00467	lncRNA	down_regulated
ENSG00000163597	-0.460331446479113	6.77585080483963	15.8029254732213	7.02937371660923e-05	0.000611733472173272	SNHG16	lncRNA	down_regulated
ENSG00000167920	-0.0474782219791724	6.32121650250817	0.125343900787186	0.723309351835782	0.859181534744462	TMEM99	lncRNA	down_regulated
ENSG00000170919	-0.222330596382712	6.49516539154449	3.07969612579214	0.0792753361935098	0.217671285638634	TPT1-AS1	lncRNA	down_regulated
ENSG00000172965	-0.881754872288186	6.45174810355479	35.9241161636739	2.05153682659017e-09	3.89382948298365e-08	MIR4435-2HG	lncRNA	down_regulated
ENSG00000174365	-0.452133831881892	6.5585166055083	12.4143476431409	0.000426047817302846	0.00299564871541064	SNHG11	lncRNA	down_regulated
ENSG00000175061	-0.0490950658200192	7.3560482556783	0.351759883111356	0.553118589639925	0.749380616027378	SNHG29	lncRNA	down_regulated
ENSG00000176124	-0.650277710860824	6.39684761362571	20.1922925976236	7.0034544738428e-06	7.69012858152658e-05	DLEU1	lncRNA	down_regulated
ENSG00000177337	-0.296619909550057	6.29149286136669	4.30610352744546	0.0379758496317311	0.127323527280594	DLGAP1-AS1	lncRNA	down_regulated
ENSG00000177406	0.0417448155442688	6.37558164778684	0.106227644699473	0.744480474613135	0.870545318874305	NINJ2-AS1	lncRNA	up_regulated
ENSG00000177410	-0.705090488144138	6.85644298859961	36.3102119244135	1.68279806266028e-09	3.22862418998774e-08	ZFAS1	lncRNA	down_regulated
ENSG00000177788	-0.505669595451094	6.5597164470514	15.2274359369768	9.5308661546712e-05	0.000797343768496591	AL162595.1	lncRNA	down_regulated
ENSG00000179406	-0.422743096293901	6.32355779649851	8.62454221201145	0.00331663780527007	0.0177446575184683	LINC00174	lncRNA	down_regulated
ENSG00000179523	-0.0789681056566222	6.31341208110548	0.339734374329389	0.559982586218086	0.754714060602137	EIF3J-DT	lncRNA	down_regulated
ENSG00000179818	0.179130690693153	6.55142476555178	2.46761700713055	0.116213998161721	0.286426653505535	PCBP1-AS1	lncRNA	up_regulated
ENSG00000180525	0.365844825640484	6.38450081542156	9.3133953781238	0.00227484519084057	0.0128473681487475	PRR26	lncRNA	up_regulated
ENSG00000180861	0.353318652386225	6.7902585789887	12.9107935198808	0.00032669276397586	0.002372548682043	LINC01559	lncRNA	up_regulated
ENSG00000181577	-2.29444025856965	6.77974202030417	195.487012284006	2.01707415166838e-44	4.80024858209541e-42	C6orf223	lncRNA	down_regulated
ENSG00000182057	-0.291295939354227	6.35102489327955	4.43536123027562	0.0352017698205198	0.120072188955053	OGFRP1	lncRNA	down_regulated
ENSG00000182648	-0.155668941440288	6.51212397328139	1.57578598236046	0.209368734420039	0.425022652304459	LINC01006	lncRNA	down_regulated
ENSG00000186594	0.537770142565158	6.49250064318195	23.9969849101601	9.64866782718463e-07	1.24507053557257e-05	MIR22HG	lncRNA	up_regulated
ENSG00000187951	-0.389228516380298	6.28095550386838	7.07398612239236	0.00782110643617059	0.0362682121758178	AC091057.1	lncRNA	down_regulated
ENSG00000188185	-0.420659459032542	6.29407953388582	8.28015456654511	0.00400807169740993	0.0207965984299572	LINC00265	lncRNA	down_regulated
ENSG00000189223	0.0424777242912344	6.6786068841055	0.149106813901767	0.699390384245064	0.84479804831944	PAX8-AS1	lncRNA	up_regulated
ENSG00000196167	0.339495846027419	6.13405990636436	6.0209062326266	0.0141373854886435	0.0585703427242813	COLCA1	lncRNA	up_regulated
ENSG00000196204	-0.348181100931439	6.36591060984898	6.2976804207376	0.0120896065652496	0.0515182097950975	RNF216P1	lncRNA	down_regulated
ENSG00000196295	-0.14044602024334	6.64654341391453	1.47290296918068	0.224888228535736	0.444358341062955	GARS1-DT	lncRNA	down_regulated
ENSG00000196756	-0.608396068022807	6.94219121438617	30.3425913683757	3.62087296053649e-08	5.91919456890872e-07	SNHG17	lncRNA	down_regulated
ENSG00000196810	-0.0596076824259096	6.61252593180133	0.26482039275712	0.606827653354708	0.785763786395392	CTBP1-DT	lncRNA	down_regulated
ENSG00000197536	0.207118631860251	6.21192837769264	2.33077302051979	0.126838875854132	0.304901143880125	IRF1-AS1	lncRNA	up_regulated
ENSG00000197568	-0.10347013191559	6.19881849752985	0.509348073852919	0.475421206173484	0.691271387212521	HHLA3	lncRNA	down_regulated
ENSG00000197989	-0.585729876411123	6.54980741182488	19.6134404952043	9.47999635831e-06	0.000100786043757806	SNHG12	lncRNA	down_regulated
ENSG00000198496	-0.0897614121490722	6.36577429520888	0.462226679988788	0.496585165917595	0.70645171398598	NBR2	lncRNA	down_regulated
ENSG00000203865	-0.0164199918582386	6.33676468754309	0.0154258300580068	0.901156316447237	0.955327173901483	ATP1A1-AS1	lncRNA	down_regulated
ENSG00000203875	-0.133399335273691	7.13972249217712	2.08995502697917	0.148270435013343	0.340353836982618	SNHG5	lncRNA	down_regulated
ENSG00000203993	-0.0985485579505339	6.49175862221481	0.632455347174336	0.426456104308057	0.651461906892861	ARRDC1-AS1	lncRNA	down_regulated
ENSG00000204054	-0.284645064834982	6.79315435553525	6.57456812216819	0.0103446101002852	0.0456217213082784	LINC00963	lncRNA	down_regulated
ENSG00000204261	-0.0158365046643705	6.25875289594419	0.0131889402215251	0.908569477192087	0.958630557614339	PSMB8-AS1	lncRNA	down_regulated
ENSG00000204387	-0.493606749119644	6.66667876435995	16.1767877354751	5.76968056271702e-05	0.000508908032527606	SNHG32	lncRNA	down_regulated
ENSG00000204876	-1.12817272243853	6.62078211707881	63.2248920295432	1.84403272786861e-15	6.15091779174503e-14	AC021218.1	lncRNA	down_regulated
ENSG00000205181	0.478890021372951	6.19401482135897	13.5208967895535	0.000235921650835135	0.00178128763214447	LINC00654	lncRNA	up_regulated
ENSG00000205622	-0.833443483870612	6.00389626499638	19.9036381467722	8.14451868042558e-06	8.84108935704092e-05	AP001042.1	lncRNA	down_regulated
ENSG00000206337	0.0265376656603843	7.02366823228751	0.0794767965012824	0.778007695710667	0.889760126118271	HCP5	lncRNA	up_regulated
ENSG00000206573	-0.295906731931357	6.64373654194986	6.13993834410705	0.0132161921517643	0.0554784185475179	THUMPD3-AS1	lncRNA	down_regulated
ENSG00000212694	-0.13937383764221	6.27958469991982	0.996874231267569	0.318068036317642	0.550717125022304	LINC01089	lncRNA	down_regulated
ENSG00000212719	-0.159974685205353	6.40615083271353	1.49086431119528	0.222082405503667	0.441276456022461	LINC02693	lncRNA	down_regulated
ENSG00000214039	-4.23005736186318	6.4295006212583	248.339310778746	5.97708786925289e-56	2.46554874606682e-53	LINC02418	lncRNA	down_regulated
ENSG00000214049	-1.68942672480585	6.25887665460505	79.2849850073635	5.37667825866112e-19	2.50136817484704e-17	UCA1	lncRNA	down_regulated
ENSG00000214106	0.144884069734166	6.22639245246384	1.13216751092317	0.287313476738934	0.520618931893266	PAXIP1-AS2	lncRNA	up_regulated
ENSG00000214293	-0.0878296234044096	6.55685437836045	0.538417835758104	0.463089167209449	0.681904860092448	APTR	lncRNA	down_regulated
ENSG00000214548	0.0669755923837715	6.45772414183574	0.300673610890129	0.5834604351401	0.770167774384932	MEG3	lncRNA	up_regulated
ENSG00000215039	-0.120452824603353	6.49692343183506	0.9418228333613	0.331809496056269	0.566010034221787	CD27-AS1	lncRNA	down_regulated
ENSG00000215256	0.000344813426521599	6.72771101433657	1.01305121376072e-05	0.99746046016907	0.998684546433935	DHRS4-AS1	lncRNA	up_regulated
ENSG00000222041	-0.71459890822583	6.3027686871048	21.5386917317256	3.46761346180627e-06	4.03685010252611e-05	CYTOR	lncRNA	down_regulated
ENSG00000223482	0.00762660339751412	6.59703426434123	0.00438186251439276	0.947222069385987	0.978290194345818	NUTM2A-AS1	lncRNA	up_regulated
ENSG00000223745	-0.197330674598918	6.29788354884535	1.99361168187664	0.157963758042652	0.355418455595966	CCDC18-AS1	lncRNA	down_regulated
ENSG00000223768	-0.0216050845070183	6.38097458632357	0.0279308209202753	0.867271565328176	0.936606701511816	LINC00205	lncRNA	down_regulated
ENSG00000223891	-0.0718603237242011	6.43926668295846	0.322034049367687	0.570387812336895	0.761193699737849	OSER1-DT	lncRNA	down_regulated
ENSG00000223960	0.0323715347184442	6.08560417162002	0.0460563389219431	0.830073418933458	0.917238910554651	CHROMR	lncRNA	up_regulated
ENSG00000224032	-0.209955455348939	6.65872829843588	3.24222982393109	0.0717629067841229	0.203451539851895	EPB41L4A-AS1	lncRNA	down_regulated
ENSG00000224078	0.394311746146996	6.46218218659071	11.8543864760847	0.000575256845400536	0.00390713691648279	SNHG14	lncRNA	up_regulated
ENSG00000224093	-0.00202473318436428	6.23100915017932	0.000210176457542843	0.988433102621131	0.995431286209024	BCAR3-AS1	lncRNA	down_regulated
ENSG00000224099	-3.15371104088939	5.72899393628099	90.4721853866426	1.8759562463891e-21	1.13243700239342e-19	AC104823.1	lncRNA	down_regulated
ENSG00000224189	0.847001746163324	6.40525606024715	60.9516402433022	5.84941772878718e-15	1.86563258746756e-13	HAGLR	lncRNA	up_regulated
ENSG00000224259	0.561421974561182	6.58737537860117	29.0147127709545	7.18306726554879e-08	1.11391550640559e-06	LINC01133	lncRNA	up_regulated
ENSG00000224272	0.452626565544853	6.28748371344931	13.2727472735725	0.000269292283136176	0.00200752530350011	AC131097.2	lncRNA	up_regulated
ENSG00000224870	-0.0403782961271875	6.62860269824587	0.124354074906833	0.724359297133816	0.86009847457599	MRPL20-AS1	lncRNA	down_regulated
ENSG00000225138	-0.695864399991336	6.62462486546336	28.5409198351451	9.1739036067021e-08	1.39468129155944e-06	SLC9A3-AS1	lncRNA	down_regulated
ENSG00000225329	0.552843987688205	5.98595597732552	14.44509386946	0.000144305267743215	0.0011506299538159	LHFPL3-AS2	lncRNA	up_regulated
ENSG00000225361	-0.17796142897586	6.19999109772582	1.46637364980219	0.225918722767631	0.445892215988746	PPP1R26-AS1	lncRNA	down_regulated
ENSG00000225377	0.170104897587918	6.33148282087548	1.76750286517274	0.183691421294328	0.391253242429829	NRSN2-AS1	lncRNA	up_regulated
ENSG00000225484	-0.0767983567912302	6.42305691656942	0.361026026124875	0.547936958356913	0.745474582189525	NUTM2B-AS1	lncRNA	down_regulated
ENSG00000225489	-0.60098863429825	6.12208685862862	13.0127930831929	0.000309370153212678	0.00226938686781677	AL354707.1	lncRNA	down_regulated
ENSG00000225733	0.103558282331767	7.2143786415178	1.47234998075229	0.224975285403302	0.444455484812558	FGD5-AS1	lncRNA	up_regulated
ENSG00000225783	-0.08534005717542	6.11305505424624	0.316168760277833	0.573919228147635	0.763717053170645	MIAT	lncRNA	down_regulated
ENSG00000225791	0.00796467116714096	6.30649592228193	0.00354626947272862	0.952513593993057	0.979748626520163	TRAM2-AS1	lncRNA	up_regulated
ENSG00000225855	-0.704042628567445	6.2026046490685	18.8126027967276	1.44211055101767e-05	0.00014785516212795	RUSC1-AS1	lncRNA	down_regulated
ENSG00000225953	0.30807104535186	6.67398863902663	8.64188988164534	0.0032852046780255	0.0176069328239782	SATB2-AS1	lncRNA	up_regulated
ENSG00000226051	0.0578534799898645	6.06477371971906	0.144878699126366	0.703478302533628	0.847419837813069	ZNF503-AS1	lncRNA	up_regulated
ENSG00000226137	0.135561323198467	6.69431014866167	1.59765625430819	0.206235670143094	0.421409958268837	BAIAP2-DT	lncRNA	up_regulated
ENSG00000226328	-0.34746116956399	6.32815384432842	6.02725204136439	0.014086646733964	0.0583798571107851	NUP50-DT	lncRNA	down_regulated
ENSG00000226476	-2.03408889971763	6.07962342178633	83.0027204045122	8.19405423373745e-20	4.19014136952483e-18	LINC01748	lncRNA	down_regulated
ENSG00000226812	-0.900440273725424	6.11954034266614	25.9787758704279	3.4519151721135e-07	4.81594704113918e-06	AL117382.1	lncRNA	down_regulated
ENSG00000226950	-0.200975336814159	6.88556789388151	3.68649986633266	0.0548546145045526	0.166378885905353	DANCR	lncRNA	down_regulated
ENSG00000227036	-0.0584131937828326	6.85326530259649	0.319516416297091	0.571898406049517	0.762223239080536	LINC00511	lncRNA	down_regulated
ENSG00000228065	-0.0271300447499965	6.06236783037949	0.0307619428193107	0.860772546466497	0.933490514637008	LINC01515	lncRNA	down_regulated
ENSG00000228223	0.0450925033012834	6.49261054690903	0.140043023581313	0.708238244781191	0.849021435548507	HCG11	lncRNA	up_regulated
ENSG00000228526	-1.00398989951583	6.19099554723788	33.6708612285204	6.52711217703418e-09	1.18435503212314e-07	MIR34AHG	lncRNA	down_regulated
