logFC	logCPM	LR	PValue	FDR	gene_name	gene_type	ExpressionType
ENSG00000130600	-1.06515410451327	6.47593255110143	50.0571991050358	1.49328920696048e-12	3.98264093451205e-11	H19	lncRNA	down_regulated
ENSG00000163597	-0.460331446479113	6.77585080483963	15.8029254732213	7.02937371660923e-05	0.000611733472173272	SNHG16	lncRNA	down_regulated
ENSG00000172965	-0.881754872288186	6.45174810355479	35.9241161636739	2.05153682659017e-09	3.89382948298365e-08	MIR4435-2HG	lncRNA	down_regulated
ENSG00000174365	-0.452133831881892	6.5585166055083	12.4143476431409	0.000426047817302846	0.00299564871541064	SNHG11	lncRNA	down_regulated
ENSG00000176124	-0.650277710860824	6.39684761362571	20.1922925976236	7.0034544738428e-06	7.69012858152658e-05	DLEU1	lncRNA	down_regulated
ENSG00000177410	-0.705090488144138	6.85644298859961	36.3102119244135	1.68279806266028e-09	3.22862418998774e-08	ZFAS1	lncRNA	down_regulated
ENSG00000177788	-0.505669595451094	6.5597164470514	15.2274359369768	9.5308661546712e-05	0.000797343768496591	AL162595.1	lncRNA	down_regulated
ENSG00000180861	0.353318652386225	6.7902585789887	12.9107935198808	0.00032669276397586	0.002372548682043	LINC01559	lncRNA	up_regulated
ENSG00000181577	-2.29444025856965	6.77974202030417	195.487012284006	2.01707415166838e-44	4.80024858209541e-42	C6orf223	lncRNA	down_regulated
ENSG00000186594	0.537770142565158	6.49250064318195	23.9969849101601	9.64866782718463e-07	1.24507053557257e-05	MIR22HG	lncRNA	up_regulated
ENSG00000196756	-0.608396068022807	6.94219121438617	30.3425913683757	3.62087296053649e-08	5.91919456890872e-07	SNHG17	lncRNA	down_regulated
ENSG00000197989	-0.585729876411123	6.54980741182488	19.6134404952043	9.47999635831e-06	0.000100786043757806	SNHG12	lncRNA	down_regulated
ENSG00000204387	-0.493606749119644	6.66667876435995	16.1767877354751	5.76968056271702e-05	0.000508908032527606	SNHG32	lncRNA	down_regulated
ENSG00000204876	-1.12817272243853	6.62078211707881	63.2248920295432	1.84403272786861e-15	6.15091779174503e-14	AC021218.1	lncRNA	down_regulated
ENSG00000205181	0.478890021372951	6.19401482135897	13.5208967895535	0.000235921650835135	0.00178128763214447	LINC00654	lncRNA	up_regulated
ENSG00000205622	-0.833443483870612	6.00389626499638	19.9036381467722	8.14451868042558e-06	8.84108935704092e-05	AP001042.1	lncRNA	down_regulated
ENSG00000214039	-4.23005736186318	6.4295006212583	248.339310778746	5.97708786925289e-56	2.46554874606682e-53	LINC02418	lncRNA	down_regulated
ENSG00000214049	-1.68942672480585	6.25887665460505	79.2849850073635	5.37667825866112e-19	2.50136817484704e-17	UCA1	lncRNA	down_regulated
